label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_HttpHostConnectException
Student List,0.00035,0.00000,0.00037,162215816,150,59726,0.00222,0,59726,0.00000,0.00000,0.00100,0.00100,0.00200,0.03600,0.16600,59726
,0.00418,0.00000,0.00420,546527100,301,201225,0.00726,0,201225,0.00000,0.00100,0.01400,0.01700,0.02600,0.06900,0.16600,201225
Student by Id,0.00030,0.00000,0.00033,176830612,50,65107,0.00183,0,65107,0.00000,0.00000,0.00100,0.00100,0.00200,0.02100,0.15100,65107
Student Delete 22,0.00097,0.00000,0.00107,3582404,1,1319,0.00269,0,1319,0.00000,0.00100,0.00100,0.00200,0.01200,0.03500,0.04000,1319
Create Student,0.01064,0.00000,0.01067,203898268,100,75073,0.00822,0,75073,0.00000,0.01000,0.01800,0.02000,0.04500,0.07800,0.14100,75073
