label,avg_ct,avg_lt,avg_rt,bytes,concurrency,fail,stdev_rt,succ,throughput,perc_0.0,perc_50.0,perc_90.0,perc_95.0,perc_99.0,perc_99.9,perc_100.0,rc_HttpHostConnectException
Student List,0.00015,0.00000,0.00016,152948824,15,56314,0.00043,0,56314,0.00000,0.00000,0.00100,0.00100,0.00100,0.00200,0.02700,56314
Student by Id,0.00015,0.00000,0.00016,152927096,15,56306,0.00047,0,56306,0.00000,0.00000,0.00100,0.00100,0.00100,0.00200,0.01800,56306
,0.00015,0.00000,0.00016,305875920,15,112620,0.00045,0,112620,0.00000,0.00000,0.00100,0.00100,0.00100,0.00200,0.02700,112620
